neighbourhood_group,price,room_type
West Region,10000,Entire home/apt
West Region,10000,Private room
Central Region,10000,Private room
Central Region,8900,Entire home/apt
Central Region,8900,Entire home/apt
Central Region,7000,Private room
West Region,7000,Private room
West Region,6944,Entire home/apt
Central Region,6000,Private room
East Region,5000,Entire home/apt
East Region,5000,Private room
Central Region,4162,Entire home/apt
Central Region,4000,Private room
Central Region,3500,Entire home/apt
Central Region,3300,Private room
Central Region,3200,Entire home/apt
East Region,3000,Private room
Central Region,2943,Entire home/apt
Central Region,2697,Entire home/apt
Central Region,2604,Entire home/apt
Central Region,2500,Shared room
North-East Region,2300,Entire home/apt
Central Region,2083,Entire home/apt
Central Region,2000,Private room
Central Region,1830,Entire home/apt
Central Region,1800,Private room
Central Region,1500,Entire home/apt
Central Region,1481,Entire home/apt
Central Region,1481,Entire home/apt
Central Region,1481,Entire home/apt
Central Region,1456,Entire home/apt
Central Region,1387,Entire home/apt
Central Region,1360,Private room
Central Region,1350,Private room
Central Region,1300,Private room
Central Region,1300,Private room
Central Region,1294,Entire home/apt
Central Region,1294,Entire home/apt
Central Region,1200,Entire home/apt
Central Region,1200,Entire home/apt
West Region,1200,Private room
Central Region,1124,Entire home/apt
Central Region,1100,Shared room
Central Region,1100,Entire home/apt
Central Region,1019,Private room
East Region,1000,Private room
Central Region,1000,Entire home/apt
West Region,1000,Shared room
Central Region,999,Private room
Central Region,999,Private room
Central Region,999,Entire home/apt
Central Region,950,Private room
West Region,900,Entire home/apt
Central Region,900,Entire home/apt
Central Region,900,Private room
Central Region,890,Entire home/apt
Central Region,887,Private room
Central Region,881,Entire home/apt
Central Region,881,Entire home/apt
Central Region,865,Entire home/apt
Central Region,844,Entire home/apt
Central Region,840,Entire home/apt
Central Region,832,Entire home/apt
Central Region,815,Entire home/apt
Central Region,800,Entire home/apt
Central Region,800,Private room
Central Region,800,Entire home/apt
West Region,800,Private room
Central Region,800,Entire home/apt
North-East Region,800,Private room
Central Region,800,Private room
North-East Region,800,Private room
Central Region,800,Private room
Central Region,797,Entire home/apt
Central Region,794,Entire home/apt
Central Region,790,Entire home/apt
Central Region,771,Entire home/apt
Central Region,769,Entire home/apt
Central Region,765,Entire home/apt
Central Region,760,Entire home/apt
Central Region,750,Entire home/apt
Central Region,750,Entire home/apt
Central Region,750,Entire home/apt
North-East Region,750,Private room
Central Region,731,Entire home/apt
East Region,731,Private room
Central Region,731,Entire home/apt
West Region,728,Entire home/apt
Central Region,722,Entire home/apt
Central Region,722,Entire home/apt
Central Region,722,Entire home/apt
Central Region,719,Entire home/apt
Central Region,719,Entire home/apt
Central Region,719,Entire home/apt
Central Region,710,Entire home/apt
Central Region,710,Entire home/apt
Central Region,707,Entire home/apt
Central Region,706,Entire home/apt
East Region,700,Entire home/apt
Central Region,700,Entire home/apt
Central Region,700,Private room
Central Region,700,Entire home/apt
Central Region,700,Entire home/apt
Central Region,700,Entire home/apt
Central Region,700,Entire home/apt
North Region,700,Private room
Central Region,700,Private room
Central Region,699,Entire home/apt
Central Region,699,Entire home/apt
Central Region,694,Entire home/apt
Central Region,687,Entire home/apt
West Region,687,Entire home/apt
Central Region,687,Entire home/apt
Central Region,687,Entire home/apt
Central Region,681,Entire home/apt
Central Region,681,Entire home/apt
East Region,681,Entire home/apt
Central Region,681,Entire home/apt
Central Region,681,Entire home/apt
Central Region,676,Entire home/apt
Central Region,669,Entire home/apt
Central Region,660,Entire home/apt
Central Region,660,Entire home/apt
Central Region,660,Entire home/apt
Central Region,660,Entire home/apt
Central Region,656,Entire home/apt
Central Region,656,Entire home/apt
Central Region,650,Entire home/apt
Central Region,650,Private room
East Region,650,Private room
Central Region,640,Entire home/apt
Central Region,631,Entire home/apt
Central Region,628,Entire home/apt
North Region,610,Entire home/apt
Central Region,600,Private room
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
East Region,600,Shared room
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,600,Private room
Central Region,600,Entire home/apt
Central Region,600,Entire home/apt
Central Region,599,Entire home/apt
Central Region,590,Entire home/apt
Central Region,587,Entire home/apt
Central Region,587,Entire home/apt
Central Region,587,Entire home/apt
Central Region,587,Entire home/apt
Central Region,581,Entire home/apt
Central Region,581,Entire home/apt
Central Region,581,Entire home/apt
Central Region,581,Entire home/apt
Central Region,569,Entire home/apt
Central Region,569,Entire home/apt
Central Region,568,Entire home/apt
Central Region,560,Entire home/apt
Central Region,560,Private room
Central Region,560,Private room
Central Region,560,Entire home/apt
Central Region,560,Entire home/apt
Central Region,558,Entire home/apt
Central Region,554,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Private room
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
North-East Region,550,Private room
Central Region,550,Entire home/apt
Central Region,550,Entire home/apt
North Region,550,Private room
Central Region,540,Entire home/apt
Central Region,533,Entire home/apt
Central Region,531,Entire home/apt
Central Region,528,Entire home/apt
Central Region,528,Entire home/apt
Central Region,525,Entire home/apt
Central Region,525,Entire home/apt
Central Region,525,Entire home/apt
Central Region,519,Entire home/apt
Central Region,519,Entire home/apt
Central Region,510,Entire home/apt
Central Region,506,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Private room
Central Region,500,Entire home/apt
East Region,500,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Entire home/apt
East Region,500,Private room
Central Region,500,Entire home/apt
East Region,500,Shared room
North-East Region,500,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Private room
Central Region,500,Entire home/apt
West Region,500,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Entire home/apt
Central Region,500,Entire home/apt
North Region,500,Private room
North Region,500,Private room
East Region,500,Entire home/apt
Central Region,499,Entire home/apt
Central Region,499,Entire home/apt
North Region,494,Entire home/apt
Central Region,490,Entire home/apt
Central Region,490,Private room
Central Region,490,Entire home/apt
Central Region,487,Entire home/apt
Central Region,487,Entire home/apt
Central Region,486,Entire home/apt
Central Region,485,Entire home/apt
Central Region,485,Entire home/apt
Central Region,481,Shared room
Central Region,481,Entire home/apt
Central Region,481,Entire home/apt
Central Region,481,Private room
Central Region,481,Entire home/apt
Central Region,481,Entire home/apt
Central Region,475,Entire home/apt
Central Region,475,Entire home/apt
Central Region,468,Entire home/apt
Central Region,462,Private room
Central Region,462,Private room
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,460,Entire home/apt
Central Region,458,Entire home/apt
Central Region,456,Entire home/apt
Central Region,453,Entire home/apt
Central Region,451,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Shared room
Central Region,450,Private room
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
Central Region,450,Entire home/apt
