neighbourhood_group,availability_365
West Region,89
West Region,0
Central Region,0
Central Region,361
Central Region,0
Central Region,365
West Region,0
West Region,179
Central Region,0
East Region,365
East Region,79
Central Region,364
Central Region,180
Central Region,0
Central Region,0
Central Region,0
East Region,90
Central Region,92
Central Region,364
Central Region,0
Central Region,5
North-East Region,365
Central Region,0
Central Region,0
Central Region,364
Central Region,83
Central Region,365
Central Region,176
Central Region,364
Central Region,364
Central Region,89
Central Region,167
Central Region,90
Central Region,0
Central Region,365
Central Region,0
Central Region,176
Central Region,155
Central Region,362
Central Region,365
West Region,365
Central Region,364
Central Region,90
Central Region,364
Central Region,365
East Region,358
Central Region,340
West Region,0
Central Region,358
Central Region,180
Central Region,269
Central Region,365
West Region,178
Central Region,364
Central Region,365
Central Region,364
Central Region,365
Central Region,364
Central Region,364
Central Region,365
Central Region,179
Central Region,75
Central Region,180
Central Region,90
Central Region,365
Central Region,332
Central Region,365
West Region,0
Central Region,16
North-East Region,0
Central Region,175
North-East Region,0
Central Region,0
Central Region,364
Central Region,364
Central Region,0
Central Region,364
Central Region,364
Central Region,150
Central Region,364
Central Region,0
Central Region,0
Central Region,365
North-East Region,365
Central Region,330
East Region,362
Central Region,167
West Region,365
Central Region,0
Central Region,0
Central Region,0
Central Region,356
Central Region,364
Central Region,364
Central Region,364
Central Region,364
Central Region,364
Central Region,364
East Region,269
Central Region,365
Central Region,42
Central Region,361
Central Region,365
Central Region,365
Central Region,364
North Region,0
Central Region,131
Central Region,189
Central Region,362
Central Region,364
Central Region,169
West Region,365
Central Region,365
Central Region,362
Central Region,364
Central Region,70
East Region,0
Central Region,85
Central Region,358
Central Region,363
Central Region,364
Central Region,304
Central Region,310
Central Region,277
Central Region,304
Central Region,364
Central Region,364
Central Region,365
Central Region,0
East Region,365
Central Region,359
Central Region,355
Central Region,280
North Region,361
Central Region,351
Central Region,0
Central Region,364
Central Region,173
Central Region,345
Central Region,83
Central Region,360
Central Region,365
Central Region,362
East Region,361
Central Region,362
Central Region,98
Central Region,153
Central Region,176
Central Region,364
Central Region,358
Central Region,361
Central Region,127
Central Region,90
Central Region,365
Central Region,364
Central Region,362
Central Region,365
Central Region,364
Central Region,365
Central Region,344
Central Region,365
Central Region,364
Central Region,0
Central Region,365
Central Region,364
Central Region,130
Central Region,354
Central Region,364
Central Region,364
Central Region,165
Central Region,360
Central Region,0
Central Region,365
Central Region,365
Central Region,365
Central Region,364
Central Region,365
Central Region,174
Central Region,360
Central Region,365
Central Region,364
Central Region,365
North-East Region,365
Central Region,365
Central Region,365
North Region,365
Central Region,363
Central Region,365
Central Region,364
Central Region,37
Central Region,161
Central Region,361
Central Region,337
Central Region,354
Central Region,364
Central Region,188
Central Region,364
Central Region,364
Central Region,365
Central Region,175
Central Region,351
East Region,76
Central Region,365
Central Region,360
Central Region,345
East Region,86
Central Region,364
East Region,179
North-East Region,358
Central Region,365
Central Region,364
Central Region,359
West Region,0
Central Region,89
Central Region,365
Central Region,365
North Region,365
North Region,365
East Region,0
Central Region,364
Central Region,0
North Region,331
Central Region,364
Central Region,178
Central Region,0
Central Region,365
Central Region,365
Central Region,90
Central Region,0
Central Region,364
Central Region,299
Central Region,0
Central Region,315
Central Region,180
Central Region,325
Central Region,266
Central Region,0
Central Region,364
Central Region,365
Central Region,352
Central Region,351
Central Region,248
Central Region,244
Central Region,229
Central Region,232
Central Region,296
Central Region,233
Central Region,305
Central Region,365
Central Region,237
Central Region,44
Central Region,364
Central Region,149
Central Region,360
Central Region,336
Central Region,365
Central Region,326
Central Region,365
Central Region,365
Central Region,357
Central Region,294
Central Region,361
Central Region,365
Central Region,363
Central Region,43
Central Region,365
Central Region,73
Central Region,136
Central Region,365
Central Region,51
Central Region,360
Central Region,304
Central Region,311
Central Region,304
Central Region,364
Central Region,309
Central Region,287
Central Region,90
Central Region,364
Central Region,279
Central Region,94
Central Region,364
Central Region,0
Central Region,56
Central Region,172
Central Region,67
Central Region,364
Central Region,361
Central Region,365
Central Region,19
Central Region,364
Central Region,334
Central Region,44
Central Region,155
Central Region,357
Central Region,44
Central Region,341
Central Region,0
Central Region,364
Central Region,308
Central Region,277
Central Region,233
Central Region,305
Central Region,332
Central Region,364
Central Region,322
Central Region,311
Central Region,346
Central Region,132
Central Region,80
Central Region,84
Central Region,0
East Region,239
North-East Region,365
North Region,180
Central Region,364
Central Region,165
Central Region,208
Central Region,284
Central Region,172
Central Region,360
Central Region,356
Central Region,357
Central Region,365
Central Region,363
North Region,0
Central Region,168
Central Region,216
Central Region,364
Central Region,324
North Region,83
North-East Region,148
Central Region,365
East Region,47
Central Region,0
Central Region,354
Central Region,352
Central Region,357
Central Region,242
Central Region,359
Central Region,365
Central Region,0
Central Region,274
Central Region,39
Central Region,304
Central Region,180
Central Region,268
Central Region,64
Central Region,360
Central Region,264
Central Region,65
Central Region,348
Central Region,338
Central Region,304
Central Region,2
Central Region,0
Central Region,24
Central Region,364
Central Region,364
Central Region,364
Central Region,0
Central Region,364
Central Region,265
Central Region,304
Central Region,351
Central Region,364
Central Region,357
Central Region,326
North-East Region,83
Central Region,319
Central Region,262
Central Region,365
Central Region,49
Central Region,180
Central Region,178
Central Region,265
Central Region,353
Central Region,319
Central Region,287
Central Region,265
West Region,362
West Region,264
North Region,179
Central Region,307
Central Region,364
Central Region,358
Central Region,364
Central Region,243
Central Region,219
Central Region,321
Central Region,354
Central Region,303
Central Region,286
Central Region,290
Central Region,364
Central Region,305
Central Region,294
Central Region,300
West Region,0
Central Region,323
Central Region,0
Central Region,180
Central Region,310
Central Region,365
Central Region,270
Central Region,285
Central Region,276
Central Region,365
Central Region,313
Central Region,99
Central Region,46
Central Region,135
Central Region,73
Central Region,65
North-East Region,179
Central Region,179
Central Region,179
Central Region,157
Central Region,179
Central Region,179
Central Region,79
Central Region,276
Central Region,0
Central Region,360
Central Region,336
Central Region,327
Central Region,154
Central Region,88
Central Region,123
Central Region,193
Central Region,364
Central Region,147
Central Region,157
Central Region,146
Central Region,279
Central Region,365
Central Region,363
Central Region,138
Central Region,351
Central Region,354
Central Region,355
Central Region,262
Central Region,0
West Region,362
Central Region,205
Central Region,325
Central Region,237
Central Region,257
Central Region,243
Central Region,173
Central Region,321
Central Region,249
Central Region,242
Central Region,364
Central Region,181
West Region,351
Central Region,182
Central Region,165
Central Region,263
Central Region,179
West Region,353
Central Region,364
West Region,352
Central Region,212
Central Region,275
Central Region,275
Central Region,256
Central Region,123
Central Region,153
West Region,364
West Region,364
Central Region,80
Central Region,364
Central Region,139
Central Region,87
Central Region,139
Central Region,332
Central Region,162
Central Region,164
Central Region,238
North Region,365
West Region,364
Central Region,302
Central Region,111
Central Region,364
Central Region,0
Central Region,83
West Region,355
Central Region,339
Central Region,359
Central Region,345
Central Region,271
West Region,364
Central Region,0
Central Region,48
Central Region,90
West Region,362
Central Region,0
Central Region,300
East Region,90
Central Region,0
Central Region,87
East Region,0
Central Region,327
Central Region,173
West Region,364
Central Region,364
Central Region,330
Central Region,358
Central Region,362
Central Region,0
Central Region,316
Central Region,173
Central Region,320
West Region,364
Central Region,87
Central Region,362
Central Region,0
Central Region,54
Central Region,167
Central Region,77
Central Region,0
Central Region,364
Central Region,0
Central Region,88
Central Region,352
West Region,364
Central Region,307
Central Region,0
Central Region,364
Central Region,300
Central Region,0
Central Region,364
Central Region,359
West Region,364
Central Region,342
Central Region,255
Central Region,334
Central Region,357
Central Region,361
Central Region,334
