neighbourhood_group,minimum_nights
West Region,2
West Region,1
Central Region,1
Central Region,2
Central Region,2
Central Region,2
West Region,2
West Region,1
Central Region,1
East Region,365
East Region,3
Central Region,2
Central Region,3
Central Region,365
Central Region,60
Central Region,150
East Region,90
Central Region,1
Central Region,2
Central Region,1
Central Region,3
North-East Region,365
Central Region,4
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,2
Central Region,2
Central Region,35
Central Region,18
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,3
Central Region,3
Central Region,1
Central Region,2
West Region,13
Central Region,2
Central Region,1
Central Region,6
Central Region,1
East Region,1
Central Region,1
West Region,1
Central Region,1
Central Region,1
Central Region,80
Central Region,180
West Region,1
Central Region,6
Central Region,9
Central Region,6
Central Region,1
Central Region,6
Central Region,6
Central Region,90
Central Region,80
Central Region,1
Central Region,1
Central Region,2
Central Region,1
Central Region,1
Central Region,1
West Region,30
Central Region,5
North-East Region,1
Central Region,1
North-East Region,1
Central Region,1
Central Region,1
Central Region,5
Central Region,3
Central Region,2
Central Region,1
Central Region,1
Central Region,2
Central Region,185
Central Region,3
Central Region,2
North-East Region,365
Central Region,1
East Region,90
Central Region,1
West Region,30
Central Region,7
Central Region,7
Central Region,7
Central Region,4
Central Region,6
Central Region,6
Central Region,2
Central Region,2
Central Region,2
Central Region,2
East Region,3
Central Region,1
Central Region,2
Central Region,30
Central Region,1
Central Region,1
Central Region,6
North Region,1
Central Region,2
Central Region,3
Central Region,2
Central Region,1
Central Region,2
West Region,7
Central Region,3
Central Region,3
Central Region,2
Central Region,4
East Region,1
Central Region,1
Central Region,90
Central Region,2
Central Region,6
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,7
Central Region,2
Central Region,1
Central Region,1
East Region,1
Central Region,2
Central Region,1
Central Region,2
North Region,2
Central Region,1
Central Region,1
Central Region,6
Central Region,2
Central Region,1
Central Region,2
Central Region,1
Central Region,1
Central Region,1
East Region,30
Central Region,1
Central Region,2
Central Region,2
Central Region,1
Central Region,1
Central Region,6
Central Region,1
Central Region,3
Central Region,5
Central Region,10
Central Region,2
Central Region,3
Central Region,2
Central Region,6
Central Region,1
Central Region,2
Central Region,2
Central Region,6
Central Region,20
Central Region,2
Central Region,6
Central Region,1
Central Region,1
Central Region,6
Central Region,6
Central Region,15
Central Region,1
Central Region,3
Central Region,1
Central Region,6
Central Region,1
Central Region,6
Central Region,1
Central Region,1
Central Region,3
Central Region,1
Central Region,6
Central Region,2
North-East Region,1
Central Region,1
Central Region,1
North Region,180
Central Region,30
Central Region,1
Central Region,2
Central Region,2
Central Region,7
Central Region,2
Central Region,6
Central Region,6
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,1
Central Region,1
Central Region,14
East Region,3
Central Region,5
Central Region,5
Central Region,30
East Region,3
Central Region,2
East Region,1
North-East Region,1
Central Region,1
Central Region,1
Central Region,1
West Region,1
Central Region,2
Central Region,7
Central Region,1
North Region,17
North Region,1
East Region,3
Central Region,2
Central Region,3
North Region,3
Central Region,2
Central Region,1
Central Region,2
Central Region,2
Central Region,1
Central Region,1
Central Region,3
Central Region,2
Central Region,30
Central Region,3
Central Region,4
Central Region,1
Central Region,6
Central Region,1
Central Region,3
Central Region,3
Central Region,2
Central Region,1
Central Region,1
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,6
Central Region,2
Central Region,6
Central Region,5
Central Region,2
Central Region,2
Central Region,3
Central Region,5
Central Region,1
Central Region,2
Central Region,9
Central Region,2
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,2
Central Region,1
Central Region,1
Central Region,2
Central Region,1
Central Region,1
Central Region,2
Central Region,1
Central Region,2
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,3
Central Region,6
Central Region,6
Central Region,2
Central Region,2
Central Region,6
Central Region,2
Central Region,6
Central Region,4
Central Region,2
Central Region,2
Central Region,3
Central Region,2
Central Region,2
Central Region,2
Central Region,4
Central Region,3
Central Region,6
Central Region,2
Central Region,5
Central Region,6
Central Region,2
Central Region,1
Central Region,1
Central Region,3
Central Region,6
Central Region,2
Central Region,2
Central Region,2
Central Region,6
Central Region,3
Central Region,1
Central Region,6
Central Region,1
Central Region,7
Central Region,1
Central Region,1
Central Region,1
East Region,2
North-East Region,90
North Region,7
Central Region,3
Central Region,3
Central Region,2
Central Region,1
Central Region,1
Central Region,4
Central Region,3
Central Region,3
Central Region,10
Central Region,1
North Region,1
Central Region,1
Central Region,3
Central Region,3
Central Region,1
North Region,5
North-East Region,10
Central Region,7
East Region,2
Central Region,4
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,10
Central Region,1
Central Region,2
Central Region,3
Central Region,2
Central Region,90
Central Region,2
Central Region,2
Central Region,7
Central Region,2
Central Region,2
Central Region,1
Central Region,2
Central Region,2
Central Region,1
Central Region,2
Central Region,1
Central Region,3
Central Region,3
Central Region,2
Central Region,7
Central Region,3
Central Region,1
Central Region,30
Central Region,3
Central Region,1
Central Region,1
Central Region,3
North-East Region,2
Central Region,3
Central Region,7
Central Region,1
Central Region,3
Central Region,1
Central Region,1
Central Region,3
Central Region,3
Central Region,3
Central Region,2
Central Region,3
West Region,6
West Region,6
North Region,1
Central Region,2
Central Region,3
Central Region,90
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,1
Central Region,1
Central Region,2
Central Region,2
West Region,1
Central Region,2
Central Region,30
Central Region,5
Central Region,2
Central Region,3
Central Region,90
Central Region,2
Central Region,2
Central Region,1
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
Central Region,2
North-East Region,7
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,1
Central Region,7
Central Region,1
Central Region,30
Central Region,6
Central Region,30
Central Region,30
Central Region,5
Central Region,1
Central Region,7
Central Region,7
Central Region,7
Central Region,5
Central Region,7
Central Region,7
Central Region,1
Central Region,6
Central Region,6
Central Region,1
Central Region,6
Central Region,7
Central Region,6
Central Region,3
Central Region,7
West Region,6
Central Region,2
Central Region,4
Central Region,2
Central Region,2
Central Region,2
Central Region,30
Central Region,2
Central Region,2
Central Region,2
Central Region,25
Central Region,2
West Region,6
Central Region,2
Central Region,2
Central Region,2
Central Region,6
West Region,6
Central Region,7
West Region,6
Central Region,2
Central Region,7
Central Region,7
Central Region,7
Central Region,3
Central Region,3
West Region,3
West Region,3
Central Region,3
Central Region,90
Central Region,90
Central Region,2
Central Region,90
Central Region,6
Central Region,1
