room_type,minimum_nights
Entire home/apt,2
Private room,1
Private room,1
Entire home/apt,2
Entire home/apt,2
Private room,2
Private room,2
Entire home/apt,1
Private room,1
Entire home/apt,365
Private room,3
Entire home/apt,2
Private room,3
Entire home/apt,365
Private room,60
Entire home/apt,150
Private room,90
Entire home/apt,1
Entire home/apt,2
Entire home/apt,1
Shared room,3
Entire home/apt,365
Entire home/apt,4
Private room,1
Entire home/apt,1
Private room,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,35
Entire home/apt,18
Private room,1
Private room,1
Private room,1
Private room,1
Entire home/apt,3
Entire home/apt,3
Entire home/apt,1
Entire home/apt,2
Private room,13
Entire home/apt,2
Shared room,1
Entire home/apt,6
Private room,1
Private room,1
Entire home/apt,1
Shared room,1
Private room,1
Private room,1
Entire home/apt,80
Private room,180
Entire home/apt,1
Entire home/apt,6
Private room,9
Entire home/apt,6
Private room,1
Entire home/apt,6
Entire home/apt,6
Entire home/apt,90
Entire home/apt,80
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Entire home/apt,1
Private room,1
Entire home/apt,1
Private room,30
Entire home/apt,5
Private room,1
Private room,1
Private room,1
Private room,1
Entire home/apt,1
Entire home/apt,5
Entire home/apt,3
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Entire home/apt,185
Entire home/apt,3
Entire home/apt,2
Private room,365
Entire home/apt,1
Private room,90
Entire home/apt,1
Entire home/apt,30
Entire home/apt,7
Entire home/apt,7
Entire home/apt,7
Entire home/apt,4
Entire home/apt,6
Entire home/apt,6
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,3
Entire home/apt,1
Private room,2
Entire home/apt,30
Entire home/apt,1
Entire home/apt,1
Entire home/apt,6
Private room,1
Private room,2
Entire home/apt,3
Entire home/apt,2
Entire home/apt,1
Entire home/apt,2
Entire home/apt,7
Entire home/apt,3
Entire home/apt,3
Entire home/apt,2
Entire home/apt,4
Entire home/apt,1
Entire home/apt,1
Entire home/apt,90
Entire home/apt,2
Entire home/apt,6
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,7
Entire home/apt,2
Entire home/apt,1
Private room,1
Private room,1
Entire home/apt,2
Entire home/apt,1
Entire home/apt,2
Entire home/apt,2
Private room,1
Entire home/apt,1
Entire home/apt,6
Entire home/apt,2
Entire home/apt,1
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,1
Shared room,30
Entire home/apt,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,1
Private room,1
Entire home/apt,6
Entire home/apt,1
Entire home/apt,3
Entire home/apt,5
Entire home/apt,10
Entire home/apt,2
Entire home/apt,3
Entire home/apt,2
Entire home/apt,6
Entire home/apt,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,6
Entire home/apt,20
Entire home/apt,2
Entire home/apt,6
Private room,1
Private room,1
Entire home/apt,6
Entire home/apt,6
Entire home/apt,15
Entire home/apt,1
Entire home/apt,3
Entire home/apt,1
Entire home/apt,6
Entire home/apt,1
Entire home/apt,6
Entire home/apt,1
Private room,1
Entire home/apt,3
Entire home/apt,1
Entire home/apt,6
Entire home/apt,2
Private room,1
Entire home/apt,1
Entire home/apt,1
Private room,180
Entire home/apt,30
Entire home/apt,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,7
Entire home/apt,2
Entire home/apt,6
Entire home/apt,6
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,1
Private room,1
Entire home/apt,14
Entire home/apt,3
Entire home/apt,5
Entire home/apt,5
Entire home/apt,30
Private room,3
Entire home/apt,2
Shared room,1
Entire home/apt,1
Entire home/apt,1
Private room,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Entire home/apt,7
Entire home/apt,1
Private room,17
Private room,1
Entire home/apt,3
Entire home/apt,2
Entire home/apt,3
Entire home/apt,3
Entire home/apt,2
Private room,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,3
Entire home/apt,2
Shared room,30
Entire home/apt,3
Entire home/apt,4
Private room,1
Entire home/apt,6
Entire home/apt,1
Entire home/apt,3
Entire home/apt,3
Entire home/apt,2
Private room,1
Private room,1
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,6
Entire home/apt,2
Entire home/apt,6
Entire home/apt,5
Entire home/apt,2
Entire home/apt,2
Entire home/apt,3
Entire home/apt,5
Entire home/apt,1
Entire home/apt,2
Entire home/apt,9
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,2
Shared room,1
Private room,1
Entire home/apt,2
Entire home/apt,1
Entire home/apt,2
Entire home/apt,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,1
Entire home/apt,3
Entire home/apt,6
Entire home/apt,6
Entire home/apt,2
Entire home/apt,2
Entire home/apt,6
Entire home/apt,2
Entire home/apt,6
Entire home/apt,4
Entire home/apt,2
Entire home/apt,2
Entire home/apt,3
Entire home/apt,2
Private room,2
Entire home/apt,2
Private room,4
Entire home/apt,3
Entire home/apt,6
Entire home/apt,2
Entire home/apt,5
Entire home/apt,6
Entire home/apt,2
Private room,1
Private room,1
Entire home/apt,3
Entire home/apt,6
Entire home/apt,2
Entire home/apt,2
Entire home/apt,2
Entire home/apt,6
Entire home/apt,3
Entire home/apt,1
Entire home/apt,6
Private room,1
Entire home/apt,7
Entire home/apt,1
