room_type,availability_365
Entire home/apt,89
Private room,0
Private room,0
Entire home/apt,361
Entire home/apt,0
Private room,365
Private room,0
Entire home/apt,179
Private room,0
Entire home/apt,365
Private room,79
Entire home/apt,364
Private room,180
Entire home/apt,0
Private room,0
Entire home/apt,0
Private room,90
Entire home/apt,92
Entire home/apt,364
Entire home/apt,0
Shared room,5
Entire home/apt,365
Entire home/apt,0
Private room,0
Entire home/apt,364
Private room,83
Entire home/apt,365
Entire home/apt,176
Entire home/apt,364
Entire home/apt,364
Entire home/apt,89
Entire home/apt,167
Private room,90
Private room,0
Private room,365
Private room,0
Entire home/apt,176
Entire home/apt,155
Entire home/apt,362
Entire home/apt,365
Private room,365
Entire home/apt,364
Shared room,90
Entire home/apt,364
Private room,365
Private room,358
Entire home/apt,340
Shared room,0
Private room,358
Private room,180
Entire home/apt,269
Private room,365
Entire home/apt,178
Entire home/apt,364
Private room,365
Entire home/apt,364
Private room,365
Entire home/apt,364
Entire home/apt,364
Entire home/apt,365
Entire home/apt,179
Entire home/apt,75
Entire home/apt,180
Entire home/apt,90
Entire home/apt,365
Private room,332
Entire home/apt,365
Private room,0
Entire home/apt,16
Private room,0
Private room,175
Private room,0
Private room,0
Entire home/apt,364
Entire home/apt,364
Entire home/apt,0
Entire home/apt,364
Entire home/apt,364
Entire home/apt,150
Entire home/apt,364
Entire home/apt,0
Entire home/apt,0
Entire home/apt,365
Private room,365
Entire home/apt,330
Private room,362
Entire home/apt,167
Entire home/apt,365
Entire home/apt,0
Entire home/apt,0
Entire home/apt,0
Entire home/apt,356
Entire home/apt,364
Entire home/apt,364
Entire home/apt,364
Entire home/apt,364
Entire home/apt,364
Entire home/apt,364
Entire home/apt,269
Entire home/apt,365
Private room,42
Entire home/apt,361
Entire home/apt,365
Entire home/apt,365
Entire home/apt,364
Private room,0
Private room,131
Entire home/apt,189
Entire home/apt,362
Entire home/apt,364
Entire home/apt,169
Entire home/apt,365
Entire home/apt,365
Entire home/apt,362
Entire home/apt,364
Entire home/apt,70
Entire home/apt,0
Entire home/apt,85
Entire home/apt,358
Entire home/apt,363
Entire home/apt,364
Entire home/apt,304
Entire home/apt,310
Entire home/apt,277
Entire home/apt,304
Entire home/apt,364
Entire home/apt,364
Entire home/apt,365
Private room,0
Private room,365
Entire home/apt,359
Entire home/apt,355
Entire home/apt,280
Entire home/apt,361
Private room,351
Entire home/apt,0
Entire home/apt,364
Entire home/apt,173
Entire home/apt,345
Entire home/apt,83
Entire home/apt,360
Entire home/apt,365
Entire home/apt,362
Shared room,361
Entire home/apt,362
Entire home/apt,98
Entire home/apt,153
Entire home/apt,176
Private room,364
Entire home/apt,358
Entire home/apt,361
Entire home/apt,127
Entire home/apt,90
Entire home/apt,365
Entire home/apt,364
Entire home/apt,362
Entire home/apt,365
Entire home/apt,364
Entire home/apt,365
Entire home/apt,344
Entire home/apt,365
Entire home/apt,364
Entire home/apt,0
Entire home/apt,365
Entire home/apt,364
Private room,130
Private room,354
Entire home/apt,364
Entire home/apt,364
Entire home/apt,165
Entire home/apt,360
Entire home/apt,0
Entire home/apt,365
Entire home/apt,365
Entire home/apt,365
Entire home/apt,364
Entire home/apt,365
Private room,174
Entire home/apt,360
Entire home/apt,365
Entire home/apt,364
Entire home/apt,365
Private room,365
Entire home/apt,365
Entire home/apt,365
Private room,365
Entire home/apt,363
Entire home/apt,365
Entire home/apt,364
Entire home/apt,37
Entire home/apt,161
Entire home/apt,361
Entire home/apt,337
Entire home/apt,354
Entire home/apt,364
Entire home/apt,188
Entire home/apt,364
Entire home/apt,364
Entire home/apt,365
Private room,175
Entire home/apt,351
Entire home/apt,76
Entire home/apt,365
Entire home/apt,360
Entire home/apt,345
Private room,86
Entire home/apt,364
Shared room,179
Entire home/apt,358
Entire home/apt,365
Private room,364
Entire home/apt,359
Entire home/apt,0
Entire home/apt,89
Entire home/apt,365
Entire home/apt,365
Private room,365
Private room,365
Entire home/apt,0
Entire home/apt,364
Entire home/apt,0
Entire home/apt,331
Entire home/apt,364
Private room,178
Entire home/apt,0
Entire home/apt,365
Entire home/apt,365
Entire home/apt,90
Entire home/apt,0
Entire home/apt,364
Shared room,299
Entire home/apt,0
Entire home/apt,315
Private room,180
Entire home/apt,325
Entire home/apt,266
Entire home/apt,0
Entire home/apt,364
Entire home/apt,365
Private room,352
Private room,351
Entire home/apt,248
Entire home/apt,244
Entire home/apt,229
Entire home/apt,232
Entire home/apt,296
Entire home/apt,233
Entire home/apt,305
Entire home/apt,365
Entire home/apt,237
Entire home/apt,44
Entire home/apt,364
Entire home/apt,149
Entire home/apt,360
Entire home/apt,336
Entire home/apt,365
Entire home/apt,326
Entire home/apt,365
Entire home/apt,365
Entire home/apt,357
Entire home/apt,294
Entire home/apt,361
Entire home/apt,365
Entire home/apt,363
Entire home/apt,43
Shared room,365
Private room,73
Entire home/apt,136
Entire home/apt,365
Entire home/apt,51
Entire home/apt,360
Entire home/apt,304
Entire home/apt,311
Entire home/apt,304
Entire home/apt,364
Entire home/apt,309
Entire home/apt,287
Entire home/apt,90
Entire home/apt,364
Entire home/apt,279
Entire home/apt,94
Entire home/apt,364
Entire home/apt,0
Entire home/apt,56
Entire home/apt,172
Entire home/apt,67
Entire home/apt,364
Private room,361
Entire home/apt,365
Private room,19
Entire home/apt,364
Entire home/apt,334
Entire home/apt,44
Entire home/apt,155
Entire home/apt,357
Entire home/apt,44
Private room,341
Private room,0
Entire home/apt,364
Entire home/apt,308
Entire home/apt,277
Entire home/apt,233
Entire home/apt,305
Entire home/apt,332
Entire home/apt,364
Entire home/apt,322
Entire home/apt,311
Private room,346
Entire home/apt,132
Entire home/apt,80
Entire home/apt,84
Private room,0
Private room,239
Private room,365
Entire home/apt,180
Entire home/apt,364
Entire home/apt,165
Entire home/apt,208
Private room,284
Entire home/apt,172
Entire home/apt,360
Entire home/apt,356
Entire home/apt,357
Entire home/apt,365
Entire home/apt,363
Entire home/apt,0
Private room,168
Entire home/apt,216
Entire home/apt,364
Private room,324
Entire home/apt,83
Private room,148
Entire home/apt,365
Entire home/apt,47
Entire home/apt,0
Private room,354
Entire home/apt,352
Entire home/apt,357
Entire home/apt,242
Private room,359
Entire home/apt,365
Entire home/apt,0
Entire home/apt,274
Entire home/apt,39
Private room,304
Private room,180
Entire home/apt,268
Entire home/apt,64
Entire home/apt,360
Entire home/apt,264
Entire home/apt,65
Private room,348
Private room,338
Entire home/apt,304
Entire home/apt,2
Entire home/apt,0
Entire home/apt,24
Entire home/apt,364
Entire home/apt,364
Entire home/apt,364
Entire home/apt,0
Entire home/apt,364
Entire home/apt,265
Entire home/apt,304
Entire home/apt,351
Entire home/apt,364
Entire home/apt,357
Entire home/apt,326
Entire home/apt,83
Entire home/apt,319
Entire home/apt,262
Private room,365
Entire home/apt,49
Entire home/apt,180
Private room,178
Entire home/apt,265
Entire home/apt,353
Entire home/apt,319
Entire home/apt,287
Entire home/apt,265
Entire home/apt,362
Entire home/apt,264
Private room,179
Entire home/apt,307
Entire home/apt,364
Entire home/apt,358
Entire home/apt,364
Entire home/apt,243
Entire home/apt,219
Private room,321
Entire home/apt,354
Entire home/apt,303
Private room,286
Entire home/apt,290
Entire home/apt,364
Entire home/apt,305
Private room,294
Private room,300
Private room,0
Entire home/apt,323
Entire home/apt,0
Private room,180
Entire home/apt,310
Entire home/apt,365
Entire home/apt,270
Entire home/apt,285
Entire home/apt,276
Entire home/apt,365
Entire home/apt,313
Entire home/apt,99
Entire home/apt,46
Entire home/apt,135
Entire home/apt,73
Entire home/apt,65
Private room,179
Entire home/apt,179
Entire home/apt,179
Entire home/apt,157
Entire home/apt,179
Entire home/apt,179
Entire home/apt,79
Private room,276
Entire home/apt,0
Entire home/apt,360
Entire home/apt,336
Entire home/apt,327
Entire home/apt,154
Entire home/apt,88
Entire home/apt,123
Entire home/apt,193
Entire home/apt,364
Entire home/apt,147
Entire home/apt,157
Entire home/apt,146
Private room,279
Entire home/apt,365
Entire home/apt,363
Private room,138
Entire home/apt,351
Entire home/apt,354
Entire home/apt,355
Entire home/apt,262
Entire home/apt,0
Entire home/apt,362
Entire home/apt,205
Entire home/apt,325
Entire home/apt,237
Entire home/apt,257
Entire home/apt,243
Private room,173
Entire home/apt,321
Entire home/apt,249
Entire home/apt,242
Entire home/apt,364
Entire home/apt,181
Entire home/apt,351
Entire home/apt,182
Entire home/apt,165
Entire home/apt,263
Entire home/apt,179
Entire home/apt,353
Entire home/apt,364
Entire home/apt,352
Entire home/apt,212
Entire home/apt,275
Entire home/apt,275
Entire home/apt,256
Entire home/apt,123
Entire home/apt,153
Entire home/apt,364
Entire home/apt,364
Entire home/apt,80
Entire home/apt,364
Entire home/apt,139
Entire home/apt,87
Entire home/apt,139
Entire home/apt,332
